flex_1,flex_2,flex_3,flex_4,flex_5,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz
-60,-56,-27,-60,-1,0.12,0.32,-0.03,0.10,5.20,8.93
-60,-56,-31,-60,-1,-0.01,0.33,-0.03,-0.18,5.13,8.79
-60,-56,-31,-60,-1,-0.08,0.24,-0.05,-0.23,4.88,9.01
-60,-56,-31,-60,-1,-0.07,0.13,-0.01,-0.10,4.84,9.09
-60,-56,-31,-60,-1,0.10,0.16,0.05,-0.07,4.94,9.08
-60,-56,-31,-60,-1,0.17,0.23,0.09,-0.05,5.01,9.00
-60,-55,-31,-60,-1,0.06,0.27,0.09,-0.23,4.75,8.91
-60,-55,-31,-60,-1,-0.08,0.20,0.04,-0.27,4.40,9.00
-60,-55,-31,-60,-1,-0.08,0.13,-0.01,-0.14,4.29,8.93
-60,-56,-31,-60,-1,-0.01,0.16,-0.01,-0.10,4.26,8.86
-60,-56,-31,-60,-1,0.03,0.21,0.04,-0.03,4.56,8.88
-60,-56,-31,-60,-1,0.05,0.28,0.07,-0.10,4.57,8.63
-60,-56,-31,-60,-1,0.02,0.24,0.08,-0.27,4.99,8.66
-60,-56,-31,-60,-1,-0.01,0.22,0.12,0.00,5.09,8.47
-60,-56,-31,-60,-1,-0.04,0.26,0.20,0.00,5.06,8.61
-60,-56,-31,-60,-1,-0.00,0.37,0.28,-0.02,5.20,8.55
-60,-56,-31,-60,-1,0.01,0.46,0.31,-0.17,5.29,8.67
-60,-56,-31,-60,-1,-0.08,0.43,0.27,-0.38,5.18,8.75
-60,-56,-31,-60,-1,-0.08,0.37,0.27,-0.34,5.04,8.76
-60,-56,-31,-60,-1,0.03,0.39,0.35,-0.36,5.13,8.66
-60,-56,-31,-60,-1,0.16,0.44,0.45,-0.41,5.26,8.64
-60,-56,-31,-60,-1,0.09,0.45,0.50,-0.32,5.13,8.59
-60,-56,-31,-60,-1,-0.04,0.43,0.51,-0.26,4.83,8.64
-60,-56,-31,-60,-1,-0.05,0.45,0.51,-0.23,4.47,8.44
-60,-56,-31,-60,-1,0.02,0.50,0.55,-0.26,4.47,8.58
-60,-56,-31,-60,-1,0.07,0.56,0.57,-0.29,4.64,8.73
-60,-56,-31,-60,-1,-0.00,0.51,0.51,-0.23,4.65,8.73
-60,-54,-31,-60,-1,-0.07,0.47,0.42,-0.50,4.84,9.07
-60,-55,-31,-60,-1,-0.16,0.48,0.36,-0.86,4.92,9.44
-60,-55,-31,-60,-1,-0.24,0.41,0.31,-1.03,4.83,9.58
-60,-55,-31,-60,-1,-0.19,0.29,0.27,-1.15,4.72,9.59
-60,-55,-31,-60,-1,-0.03,0.23,0.25,-1.11,4.71,9.23
-60,-55,-35,-60,-1,0.02,0.19,0.25,-1.11,4.63,9.17
-60,-55,-35,-60,-1,-0.01,0.12,0.26,-0.95,4.44,8.90
-60,-56,-35,-60,-1,0.04,0.12,0.20,-0.77,4.36,8.65
-60,-56,-35,-60,-1,0.05,0.20,0.11,-0.89,4.09,8.95
-60,-56,-35,-60,-1,-0.01,0.26,-0.04,-1.10,4.56,8.73
-60,-56,-35,-60,-1,-0.03,0.37,-0.05,-1.40,4.43,8.90
-60,-56,-35,-60,-1,0.01,0.38,0.02,-1.55,4.76,8.91
-60,-56,-35,-60,-1,0.12,0.28,0.02,-1.36,4.88,8.53
-60,-57,-35,-60,-1,0.04,0.22,-0.04,-1.53,5.64,8.47
-60,-56,-35,-60,-1,-0.37,0.21,0.09,-1.44,5.71,9.15
-60,-57,-31,-60,-1,-0.51,0.28,0.22,-1.46,4.31,8.60
